Name,Party,State,District,Incumbent,Winner,Raised,Spent
Lois J Frankel,D,FL,21,Yes,Yes,1534882.0,1309786.0
Laura Loomer,R,FL,21,No,No,2271604.0,2240689.0
Charleston Malkemus,I,FL,21,No,No,28928.0,28636.0
Ted Deutch,D,FL,22,Yes,Yes,1364438.0,1265494.0
Jim Pruden,R,FL,22,No,No,278416.0,278416.0
Debbie Wasserman Schultz,D,FL,23,Yes,Yes,2191922.0,1979903.0
Carla Spalding,R,FL,23,No,No,919579.0,903561.0
Frederica Wilson,D,FL,24,Yes,Yes,412592.0,321019.0
Lavern Spicer,R,FL,24,No,No,34973.0,34909.0
Christine Olivo,I,FL,24,No,No,31646.0,32898.0
Mario Diaz-Balart,R,FL,25,Yes,Yes,1590134.0,804054.0
Debbie Mucarsel-Powell,D,FL,26,Yes,No,6793521.0,6822740.0
Carlos Gimenez,R,FL,26,No,Yes,2226559.0,2187389.0
Donna Shalala,D,FL,27,Yes,No,3842907.0,3735966.0
Maria Salazar,R,FL,27,No,Yes,3654190.0,3645814.0
Frank Polo,I,FL,27,No,No,4606.0,4662.0
Buddy Carter,R,GA,01,Yes,Yes,2315487.0,1734754.0
Joyce Griggs,D,GA,01,No,No,130043.0,125000.0
Sanford Bishop,D,GA,02,Yes,Yes,1540683.0,1440571.0
Don Cole,R,GA,02,No,No,164274.0,162522.0
Drew Ferguson,R,GA,03,Yes,Yes,2374212.0,2150911.0
Valbrun Almonord,D,GA,03,No,No,35762.0,31946.0
Hank Johnson,D,GA,04,Yes,Yes,628303.0,490360.0
Johsira C. Cruz,R,GA,04,No,No,12954.0,23146.0
Nikema Williams,D,GA,05,No,Yes,553964.0,362801.0
Robert Franklin,D,GA,05,No,No,360473.0,358394.0
Angela Stanton-King,R,GA,05,No,No,305279.0,301338.0
Kwanza Hall,D,GA,05,No,No,239597.0,227091.0
Barrington Martin II,D,GA,05,No,No,16522.0,16517.0
Chase Oliver,L,GA,05,No,No,9225.0,5220.0
Steven Muhammad,I,GA,05,No,No,3497.0,-4965.0
Keisha Waites,D,GA,05,No,No,875.0,0.0
Lucy McBath,D,GA,06,Yes,Yes,8507298.0,8586054.0
Karen Handel,R,GA,06,No,No,3026243.0,3072932.0
Carolyn Bourdeaux,D,GA,07,No,Yes,5133244.0,5161230.0
Richard McCormick,R,GA,07,No,No,2595446.0,2563724.0
Austin Scott,R,GA,08,Yes,Yes,821745.0,716159.0
Jimmy Cooper,3,GA,08,No,No,8542.0,8528.0
Lindsay Holliday,D,GA,08,No,No,7480.0,5220.0
Andrew Clyde,R,GA,09,No,Yes,1569425.0,1561316.0
Devin Pandy,D,GA,09,No,No,84272.0,84623.0
Jody Hice,R,GA,10,Yes,Yes,595947.0,457648.0
Tabitha Johnson-Green,D,GA,10,No,No,14808.0,12214.0
Barry Loudermilk,R,GA,11,Yes,Yes,877767.0,700851.0
Dana Barrett,D,GA,11,No,No,404625.0,394977.0
Richard W Allen,R,GA,12,Yes,Yes,1228970.0,662818.0
Liz Johnson,D,GA,12,No,No,72061.0,72061.0
David Scott,D,GA,13,Yes,Yes,1209614.0,1131746.0
Becky Hites,R,GA,13,No,No,63509.0,62935.0
Martin Cowen,L,GA,13,No,No,13460.0,13464.0
Marjorie Taylor Greene,R,GA,14,No,Yes,2596914.0,2237599.0
Ed Case,D,HI,01,Yes,No,508249.0,472569.0
Ron Curtis,R,HI,01,No,No,12538.0,12647.0
Kai Kahele,D,HI,02,No,Yes,1235523.0,1039637.0
Joe Akana,R,HI,02,No,No,54534.0,55344.0
Jonathan Hoomanawanui,3,HI,02,No,No,1883.0,1522.0
Russ Fulcher,R,ID,01,Yes,Yes,575485.0,508457.0
Rudy Soto,D,ID,01,No,No,302902.0,302902.0
Mike Simpson,R,ID,02,Yes,Yes,1008847.0,1099604.0
Aaron Swisher,D,ID,02,No,No,70674.0,70268.0
Bobby L Rush,D,IL,01,Yes,Yes,541435.0,496454.0
Philanise White,R,IL,01,No,No,6289.0,5048.0
Robin Kelly,D,IL,02,Yes,Yes,1634783.0,1108137.0
Marie Newman,D,IL,03,No,Yes,2802093.0,2699323.0
Mike Fricilone,R,IL,03,No,No,128458.0,127980.0
Jesus Garcia,D,IL,04,Yes,Yes,822846.0,711159.0
Jesus Solorio Jr,R,IL,04,No,No,2065.0,843.0
Mike Quigley,D,IL,05,Yes,Yes,1171507.0,926655.0
Sean Casten,D,IL,06,Yes,Yes,5582179.0,5313570.0
Jeanne Ives,R,IL,06,No,No,3157771.0,3135464.0
Bill Redpath,L,IL,06,No,No,9837.0,9837.0
Danny K Davis,D,IL,07,Yes,Yes,544690.0,505506.0
Tracy Jennings,3,IL,07,No,No,65283.0,65283.0
Raja Krishnamoorthi,D,IL,08,Yes,Yes,6358878.0,2207703.0
Jan Schakowsky,D,IL,09,Yes,Yes,1834801.0,1514838.0
Sargis Sangari,R,IL,09,No,No,35364.0,34715.0
Brad Schneider,D,IL,10,Yes,Yes,3459512.0,2873333.0
Valerie Ramirez Mukherjee,R,IL,10,No,No,130225.0,64764.0
Bill Foster,D,IL,11,Yes,Yes,2381354.0,1823906.0
Rick Laib,R,IL,11,No,No,20343.0,20064.0
Mike Bost,R,IL,12,Yes,Yes,1918041.0,1509573.0
Ray Lenzi,D,IL,12,No,No,161324.0,104809.0
Rodney Davis,R,IL,13,Yes,Yes,4943459.0,4822600.0
Betsy Dirksen Londrigan,D,IL,13,No,No,5297007.0,5281880.0
Lauren A Underwood,D,IL,14,Yes,Yes,7803579.0,7301503.0
Jim Oberweis,R,IL,14,No,No,2438857.0,2348798.0
Mary Miller,R,IL,15,No,Yes,689057.0,570356.0
Erika Weaver,D,IL,15,No,No,58689.0,23349.0
Adam Kinzinger,R,IL,16,Yes,Yes,2105736.0,1588550.0
Dani Brzozowski,D,IL,16,No,No,459344.0,376167.0
Cheri Bustos,D,IL,17,Yes,Yes,4975192.0,6391009.0
Esther Joy King,R,IL,17,No,No,2032878.0,2030587.0
Darin LaHood,R,IL,18,Yes,Yes,3248113.0,1749128.0
Frank J. Mrvan,D,IN,01,No,Yes,578635.0,464407.0
Mark Leyva,R,IN,01,No,No,16551.0,15343.0
Jackie Walorski,R,IN,02,Yes,Yes,2383467.0,1698202.0
Pat Hackett,D,IN,02,No,No,881888.0,867301.0
Jim Banks,R,IN,03,Yes,Yes,1202509.0,769591.0
Chip Coldiron,D,IN,03,No,No,94056.0,89883.0
Jim Baird,R,IN,04,Yes,Yes,327727.0,190158.0
Joe Mackey,D,IN,04,No,No,44585.0,43213.0
Christina Hale,D,IN,05,No,No,4010368.0,3998905.0
Victoria Spartz,R,IN,05,No,Yes,3119328.0,3010203.0
Greg Pence,R,IN,06,Yes,Yes,3114448.0,2804148.0
Jeannine Lee Lake,D,IN,06,No,No,143089.0,145315.0
Andre Carson,D,IN,07,Yes,Yes,1011635.0,873962.0
Susan Marie Smith,R,IN,07,No,No,62905.0,59843.0
Larry Bucshon,R,IN,08,Yes,Yes,1051336.0,1078646.0
Thomasina Marsili,D,IN,08,No,No,68734.0,68480.0
Trey Hollingsworth,R,IN,09,Yes,Yes,1166754.0,501136.0
Andy Ruff,D,IN,09,No,No,148263.0,134906.0
Tonya Millis,L,IN,09,No,No,10224.0,10041.0
Abby Finkenauer,D,IA,01,Yes,No,5901441.0,5875405.0
Ashley Hinson,R,IA,01,No,Yes,5175883.0,5059211.0
Rita Hart,D,IA,02,No,No,4232992.0,4114400.0
Mariannette Miller-Meeks,R,IA,02,No,Yes,2174194.0,1721926.0
Cindy Axne,D,IA,03,Yes,Yes,6236976.0,6236994.0
David Young,R,IA,03,No,No,3170072.0,3094582.0
J.D. Scholten,D,IA,04,No,No,2885915.0,2902003.0
Randy Feenstra,R,IA,04,No,Yes,1906234.0,1894288.0
Tracey Mann,R,KS,01,No,Yes,1403353.0,1127156.0
Kali Barnett,D,KS,01,No,No,603036.0,592924.0
Michelle De La Isla,D,KS,02,No,No,1825085.0,1810968.0
Jake Laturner,R,KS,02,No,Yes,1593407.0,1578460.0
