Name,Party,State,District,Incumbent,Winner,Raised,Spent
Jim Hagedorn,R,MN,01,Yes,Yes,"$2,386,033","$2,305,994"
Daniel Feehan,D,MN,01,No,No,"$4,861,651","$4,863,835"
Angie Craig,D,MN,02,Yes,Yes,"$5,380,101","$4,435,492"
Tyler Kistner,R,MN,02,No,No,"$2,990,054","$2,956,042"
Dean Phillips,D,MN,03,Yes,Yes,"$2,328,616","$2,152,031"
Kendall Qualls,R,MN,03,No,No,"$1,863,927","$1,751,214"
Gary Heyer,I,MN,03,No,No,$827,$827
Betty McCollum,D,MN,04,Yes,Yes,"$1,171,748","$994,072"
Gene Rechtzigel,R,MN,04,No,No,"$20,075","$20,075"
Ilhan Omar,D,MN,05,Yes,Yes,"$5,718,517","$5,605,576"
Lacy Johnson,R,MN,05,No,No,"$12,050,564","$12,000,896"
Chris Kelley,3,MN,05,No,No,"$249,583","$249,583"
Ervan Katari,I,MN,05,No,No,$255,$187
Tom Emmer,R,MN,06,Yes,Yes,"$2,804,265","$2,537,612"
Tawnja Zahradka,D,MN,06,No,No,"$49,242","$49,214"
Collin Peterson,D,MN,07,Yes,No,"$2,714,012","$2,867,577"
Michelle Fischbach,R,MN,07,No,Yes,"$2,618,450","$2,580,501"
Pete Stauber,R,MN,08,Yes,Yes,"$2,593,190","$2,608,759"
Quinn Nystrom,D,MN,08,No,No,"$1,530,606","$1,527,005"
Trent Kelly,R,MS,01,Yes,Yes,"$876,882","$826,673"
Antonia Eliason,D,MS,01,No,No,"$22,281","$18,174"
Bennie G,D,MS,02,Yes,Yes,"$1,377,392","$1,096,904"
Michael Guest,R,MS,03,Yes,Yes,"$766,807","$518,162"
Steven Palazzo,R,MS,04,Yes,Yes,"$817,129","$747,217"
Cori Bush,D,MO,01,No,Yes,"$1,418,014","$1,333,512"
Ann Wagner,R,MO,02,Yes,Yes,"$5,598,287","$6,513,101"
Jill Schupp,D,MO,02,No,No,"$4,850,948","$4,830,434"
Blaine Luetkemeyer,R,MO,03,Yes,Yes,"$2,022,905","$2,081,391"
Vicky Hartzler,R,MO,04,Yes,Yes,"$1,700,978","$1,335,607"
Lindsey Simmons,D,MO,04,No,No,"$395,934","$384,622"
Emanuel Cleaver,D,MO,05,Yes,Yes,"$1,393,847","$928,061"
Ryan Derks,R,MO,05,No,No,"$76,488","$76,488"
Sam Graves,R,MO,06,Yes,Yes,"$1,959,516","$1,654,756"
Gena Ross,D,MO,06,No,No,"$10,170","$10,530"
Billy Long,R,MO,07,Yes,Yes,"$1,320,420","$1,518,234"
Audrey Richards,I,MO,07,No,No,"$7,985","$8,113"
Jason Smith,R,MO,08,Yes,Yes,"$1,900,227","$1,514,786"
Kathryn Ellis,D,MO,08,No,No,"$302,428","$305,387"
Kathleen Williams,D,MT,01,No,No,"$6,201,758","$6,232,286"
